"","ZIP","Under.5","X.5...9","X.10...14","X15.19","X20.24","X25.29","X30.34","X35.39","X40.44","X45.49","X50.54","X55.59","X60.64","X65.69","X70.74","X75.79","X80.84","X85.Plus","X","X.1","total_population","proportion_between_65_80","proportion_over_80"
"1",38103,323,177,184,367,1574,2782,2111,1620,872,911,860,926,743,578,382,179,77,73,NA,NA,14739,0.077277970011534,0.0101770812131081
"2",38002,2570,3419,3972,3753,2179,1762,2437,3261,3395,3597,3420,2852,2377,1933,1568,932,568,390,NA,NA,44385,0.0998760842627014,0.0215838684240171
"3",38017,535,579,658,674,740,763,758,774,794,824,790,810,889,883,860,907,905,759,NA,NA,13902,0.190620054668393,0.119695007912531
"4",38016,2992,2792,3075,3172,3383,3697,3697,3689,3334,3331,3163,2962,2738,2274,1799,1046,641,537,NA,NA,48322,0.105935184801954,0.0243781300442862
"5",38018,2193,2114,2358,2402,2550,2789,2790,2556,2511,2572,2551,2459,2226,1976,1382,756,464,437,NA,NA,37086,0.110931348756943,0.0242948821657768
"6",38028,244,321,387,471,399,257,263,274,402,424,639,799,644,490,508,370,207,112,NA,NA,7211,0.189710165025655,0.0442379697684094
"7",38060,113,130,119,129,117,111,120,118,127,123,141,140,104,147,119,141,131,133,NA,NA,2263,0.179849756959788,0.116659301811754
"8",38066,131,113,158,149,127,86,118,157,151,197,293,301,306,294,219,130,75,63,NA,NA,3068,0.209582790091265,0.044980443285528
"9",38104,309,275,352,313,408,513,529,509,403,327,443,433,507,414,236,120,73,68,NA,NA,6232,0.123555840821566,0.0226251604621309
"10",38105,309,275,352,313,408,513,529,509,403,327,443,433,507,414,236,120,73,68,NA,NA,6232,0.123555840821566,0.0226251604621309
"11",38106,1407,1509,1471,1419,1262,1351,1261,1297,1253,1227,1362,1769,1725,1380,919,694,520,568,NA,NA,22394,0.133651871036885,0.04858444226132
"12",38107,939,1020,1016,954,1169,1253,1087,932,852,870,966,1027,1125,927,614,380,274,250,NA,NA,15655,0.122708399872245,0.0334717342702012
"13",38108,1297,1472,1453,1221,974,1185,1107,1161,1034,926,927,1012,1028,797,508,346,269,334,NA,NA,17051,0.0968271655621371,0.035364494751041
"14",38109,2577,2996,3127,2767,2386,2516,2370,2325,2284,2391,2500,2771,3046,2686,2366,1610,971,748,NA,NA,42437,0.156985649315456,0.0405071046492448
"15",38111,2522,2421,2284,2374,4239,3856,3269,2720,2301,2099,2010,2270,2342,2164,1489,858,618,697,NA,NA,40533,0.111292033651593,0.0324427010090544
"16",38112,1054,1054,987,1741,1895,1283,1102,1001,941,866,906,933,1015,859,569,383,190,191,NA,NA,16970,0.106717737183265,0.0224513847967001
"17",38117,1631,1526,1551,1381,1459,2179,2165,1867,1680,1508,1553,1658,1835,1647,1303,848,567,780,NA,NA,27138,0.139951359717002,0.0496351978775149
"18",38125,2208,2325,2710,3023,3040,3326,2853,2529,2688,3173,3106,2844,2340,1966,1388,742,375,334,NA,NA,40970,0.0999755918965096,0.0173053453746644
"19",38126,452,534,481,427,359,482,450,364,292,300,305,253,303,302,199,88,68,58,NA,NA,5717,0.103026062620255,0.0220395312226692
"20",38127,3562,3565,3440,2927,2521,2911,2800,2441,2278,2168,2226,2458,2573,2127,1278,694,356,354,NA,NA,40679,0.10076452223506,0.0174537230512058
"21",38128,3185,3501,3654,3366,3263,3397,3049,2816,2536,2325,2393,2539,2388,1991,1278,686,408,422,NA,NA,43197,0.091557284070653,0.0192142972891636
"22",38133,1380,1615,1685,1517,1351,1374,1532,1661,1488,1412,1363,1545,1378,1168,840,501,321,351,NA,NA,22482,0.111600391424251,0.0298905791299706
"23",38134,2498,2565,2689,2710,3170,3672,3474,3161,2855,2573,2125,2240,2207,1984,1451,963,675,748,NA,NA,41760,0.105316091954023,0.0340756704980843
"24",38135,1556,1742,2100,2165,1688,1583,1832,1833,1899,1967,2021,2177,2179,1750,1377,835,458,447,NA,NA,29609,0.133810665675977,0.030565030902766
"25",38138,1452,1758,1715,1526,1044,884,1299,1730,1613,1510,1476,1694,1679,1796,1689,1169,847,956,NA,NA,25837,0.1801292719743,0.0697836436118744
"26",38139,803,1149,1406,1367,714,342,528,933,1138,1284,1216,1324,1329,1154,956,599,297,195,NA,NA,16734,0.161885980638222,0.0294012190749373
"27",38141,1526,1728,2001,1892,1501,1459,1550,1511,1576,1469,1425,1483,1186,902,578,278,140,128,NA,NA,22333,0.0787175927998925,0.0120001791071509
