Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg
1950,50.3,47.3,49,58.3,72.4,77.8,78.9,76.1,71.3,66.7,46.5,37.5,61
1951,42.7,44.5,52.1,58.3,70.5,77.3,81.8,82.2,72.7,63.6,45.6,45.9,61.4
1952,47.5,48.4,50.3,58.9,71,84.6,83.7,81.7,71.8,54.8,49.6,43.9,62.2
1953,45.7,46.6,56.5,58.7,71.8,85.5,82.6,81,74.5,64.3,50.5,41.8,63.3
1954,42.8,50.7,51.7,67.1,66,81.1,86.5,85,78,64.4,50.3,43.1,63.9
1955,41.5,44.2,53,65.6,73.2,74.2,82.5,81.4,76.7,62.2,49.7,42.4,62.2
1956,38.7,47.8,51.5,60.4,73.2,77.3,82.6,82.5,72.8,65.7,50.5,49.4,62.7
1957,39.3,50.1,50.3,64.4,71.7,78.3,80.4,79,72,59.6,51.2,47.8,62
1958,37.5,34,45.6,60.4,71.1,78,81.4,79.9,73.5,62.1,54,39,59.7
1959,39.5,44.3,51.6,61.5,74.4,77.4,79.3,81,75.6,64.5,46.6,45.4,61.8
1960,41.8,40.8,40.2,64.8,68.5,77.8,81.7,81.5,76.1,63.8,50.8,37.2,60.4
1961,36,47.2,55.1,58.2,66.7,75.1,80.1,77.8,74.6,62.5,49.6,42.4,60.4
1962,36.1,50.3,47.2,58.8,76.8,77.1,81.3,80.8,73.4,65.9,50.2,39.9,61.5
1963,34.4,37.6,56.7,64.2,71,78.5,80.1,80.2,73.4,68.6,53.3,31.4,60.8
1964,41,40.2,51.7,64,71.9,79.3,80.6,78.6,72.9,58.9,54.4,44.2,61.5
1965,43.4,42.8,44,66.4,74.6,78.1,81.8,80.2,73.7,60.8,55.8,45.8,62.3
1966,34.2,42.2,52.8,60.6,67.9,76.6,84.7,76.8,70.8,58.1,53.7,41.4,60
1967,42.1,39.2,56.7,66.5,68.8,78.3,77.7,75.9,70.3,62.4,49.1,45,61
1968,38.8,37.2,50.9,62.7,69.6,79.5,80.7,82,71.3,62.2,50.9,41.7,60.6
1969,41.1,43.3,45,62.9,72.1,78.8,84.9,79.3,72.9,62.8,49,40.1,61
1970,35.2,41.6,48.6,65,72.2,77.3,79.7,81.2,77.9,61.6,49.8,46.4,61.4
1971,39.6,43.5,48.4,60.5,66.6,80.6,80.6,78.5,76.1,69.2,50.9,50.6,62.1
1972,42.3,44.7,52.2,63,69.6,77.5,79.3,79.7,75.9,61.3,45.5,40,60.9
1973,38.6,40.4,57.3,59.8,68.3,81,83.2,79.5,76.1,67.6,57.3,43.3,62.7
